Airline,Source,Destination,Route,Duration,Total_Stops,month,day in a month,Dep_hour,Dep_minute,Arrival_Hour,Arrival_Minute
IndiGo,Banglore,New Delhi,BLR → DEL,170,0,3,24,22,20,1,10
Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,445,2,5,1,5,50,13,15
Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,1140,2,6,9,9,25,4,25
IndiGo,Kolkata,Banglore,CCU → NAG → BLR,325,1,5,12,18,5,23,30
IndiGo,Banglore,New Delhi,BLR → NAG → DEL,285,1,3,1,16,50,21,35
SpiceJet,Kolkata,Banglore,CCU → BLR,145,0,6,24,9,0,11,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,930,1,3,12,18,55,10,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1265,1,3,1,8,0,5,5
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1530,1,3,12,8,55,10,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,470,1,5,27,11,25,19,15
Air India,Delhi,Cochin,DEL → BLR → COK,795,1,6,1,9,45,23,0
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4,18,20,20,22,55
Air India,Chennai,Kolkata,MAA → CCU,135,0,6,24,11,40,13,55
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,730,1,5,9,21,10,9,20
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4,24,17,15,19,50
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1595,2,3,3,16,40,19,15
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,270,1,4,15,8,45,13,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1355,1,6,12,14,0,12,35
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1380,2,6,12,20,15,19,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1235,1,5,27,16,0,12,35
GoAir,Delhi,Cochin,DEL → BOM → COK,310,1,3,6,14,10,19,20
Air India,Banglore,New Delhi,BLR → COK → DEL,920,1,3,21,22,0,13,20
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4,3,4,0,6,50
IndiGo,Banglore,Delhi,BLR → DEL,175,0,5,1,18,55,21,50
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,800,1,5,6,18,55,8,15
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,910,2,6,9,21,25,12,35
IndiGo,Delhi,Cochin,DEL → LKO → COK,345,1,6,1,21,50,3,35
GoAir,Delhi,Cochin,DEL → BOM → COK,355,1,5,15,7,0,12,55
Vistara,Banglore,Delhi,BLR → DEL,170,0,6,18,9,45,12,35
Vistara,Chennai,Kolkata,MAA → CCU,135,0,6,15,7,5,9,20
Vistara,Chennai,Kolkata,MAA → CCU,135,0,6,18,7,5,9,20
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,805,2,5,1,9,50,23,15
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4,6,4,0,6,50
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,1320,2,6,15,14,35,12,35
Jet Airways,Delhi,Cochin,DEL → BOM → COK,330,1,5,18,7,5,12,35
IndiGo,Delhi,Cochin,DEL → BOM → COK,625,1,6,27,10,35,21,0
SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,315,1,5,21,15,5,20,20
Air India,Kolkata,Banglore,CCU → BLR,150,0,5,18,14,15,16,45
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,375,1,3,6,7,0,13,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,715,1,6,3,7,5,19,0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,665,1,5,21,7,5,18,10
Air India,Banglore,New Delhi,BLR → BOM → DEL,510,1,3,15,6,45,15,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1325,1,5,18,20,55,19,0
Air Asia,Banglore,Delhi,BLR → DEL,165,0,5,6,11,10,13,55
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,720,1,3,21,9,0,21,0
SpiceJet,Banglore,New Delhi,BLR → DEL,170,0,3,24,5,45,8,35
IndiGo,Banglore,Delhi,BLR → DEL,170,0,5,27,4,0,6,50
Air India,Chennai,Kolkata,MAA → CCU,135,0,5,3,11,40,13,55
Air India,Kolkata,Banglore,CCU → HYD → BLR,965,1,5,15,19,0,11,5
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,6,27,23,5,19,0
Jet Airways,Delhi,Cochin,DEL → COK,195,0,3,9,11,0,14,15
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1520,1,5,1,9,35,10,55
IndiGo,Banglore,Delhi,BLR → DEL,180,0,6,18,21,15,0,15
Air Asia,Banglore,Delhi,BLR → DEL,170,0,4,3,23,55,2,45
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,975,1,3,24,19,45,12,0
Air India,Banglore,New Delhi,BLR → BOM → AMD → DEL,905,2,3,1,8,50,23,55
Vistara,Chennai,Kolkata,MAA → CCU,135,0,3,6,7,5,9,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,390,1,5,6,19,0,1,30
Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,1505,1,3,6,15,40,16,45
Air India,Kolkata,Banglore,CCU → BOM → BLR,745,1,6,6,9,25,21,50
Air India,Delhi,Cochin,DEL → MAA → COK,1640,1,4,3,6,5,9,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,615,1,6,3,8,45,19,0
IndiGo,Delhi,Cochin,DEL → BOM → COK,630,1,5,15,15,0,1,30
Vistara,Chennai,Kolkata,MAA → CCU,135,0,5,24,7,5,9,20
IndiGo,Delhi,Cochin,DEL → BOM → COK,625,1,6,24,10,35,21,0
Vistara,Banglore,Delhi,BLR → DEL,170,0,4,24,9,45,12,35
Air India,Mumbai,Hyderabad,BOM → HYD,90,0,5,6,13,55,15,25
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,5,21,5,55,19,15
IndiGo,Chennai,Kolkata,MAA → CCU,135,0,3,12,13,20,15,35
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,6,1,7,5,8,30
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1590,1,3,9,5,45,8,15
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,440,1,6,24,11,40,19,0
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,810,2,6,24,23,5,12,35
IndiGo,Delhi,Cochin,DEL → BLR → COK,300,1,3,21,5,5,10,5
Vistara,Banglore,New Delhi,BLR → DEL,165,0,3,9,9,50,12,35
GoAir,Banglore,Delhi,BLR → DEL,170,0,4,3,11,40,14,30
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,4,3,6,25,7,55
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1145,1,6,15,17,30,12,35
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,3,21,8,20,10,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,890,1,6,9,21,10,12,0
Jet Airways,Banglore,New Delhi,BLR → DEL,160,0,3,24,19,55,22,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1330,1,5,6,6,30,4,40
IndiGo,Delhi,Cochin,DEL → BOM → COK,575,1,6,27,11,25,21,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,600,1,5,18,9,0,19,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1280,1,3,6,14,5,11,25
IndiGo,Delhi,Cochin,DEL → MAA → COK,325,1,6,24,2,0,7,25
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,1125,2,6,6,9,40,4,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,740,1,4,1,8,25,20,45
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1080,1,5,24,20,25,14,25
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,555,1,5,27,13,15,22,30
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,665,1,3,6,2,15,13,20
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1050,1,3,12,16,55,10,25
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,3,6,5,55,19,15
Air India,Kolkata,Banglore,CCU → BLR,155,0,4,21,20,45,23,20
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,6,21,5,15,7,40
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,5,15,5,55,8,35
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,6,3,19,50,22,50
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,6,18,7,5,8,30
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,995,2,6,12,20,0,12,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,740,1,5,15,8,25,20,45
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,735,1,6,9,20,0,8,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,450,1,6,24,20,55,4,25
Air India,Kolkata,Banglore,CCU → MAA → BLR,1440,1,5,12,14,35,14,35
Air India,Banglore,Delhi,BLR → DEL,165,0,5,1,6,10,8,55
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,535,2,5,18,19,30,4,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,430,1,3,27,11,40,18,50
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,870,1,3,27,4,45,19,15
Air India,Delhi,Cochin,DEL → JDH → BOM → COK,1820,2,5,9,12,55,19,15
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,5,24,23,5,19,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,900,1,3,18,14,5,5,5
IndiGo,Banglore,Delhi,BLR → DEL,175,0,4,12,18,55,21,50
Vistara,Kolkata,Banglore,CCU → DEL → BLR,765,1,5,12,20,20,9,5
Jet Airways,Delhi,Cochin,DEL → BOM → COK,610,1,3,6,18,15,4,25
GoAir,Delhi,Cochin,DEL → BOM → COK,355,1,6,27,7,0,12,55
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,925,1,5,18,7,5,22,30
Air India,Delhi,Cochin,DEL → MAA → COK,965,1,3,6,17,20,9,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,610,1,3,3,15,25,1,35
Vistara,Banglore,Delhi,BLR → DEL,160,0,6,12,7,0,9,40
Jet Airways,Delhi,Cochin,DEL → BOM → COK,715,1,5,9,7,5,19,0
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,4,9,5,55,8,35
Air India,Mumbai,Hyderabad,BOM → HYD,85,0,5,3,15,0,16,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,845,1,5,6,20,0,10,5
Air India,Delhi,Cochin,DEL → BOM → COK,1215,1,3,1,23,0,19,15
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,5,12,5,15,7,40
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,1390,2,5,21,12,0,11,10
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1090,1,6,12,14,5,8,15
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,960,1,5,6,20,0,12,0
IndiGo,Banglore,Delhi,BLR → DEL,170,0,6,24,4,0,6,50
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,6,3,14,45,17,5
Air India,Banglore,New Delhi,BLR → MAA → DEL,480,1,3,21,11,50,19,50
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1015,1,6,15,11,30,4,25
Vistara,Delhi,Cochin,DEL → COK,190,0,5,12,14,40,17,50
IndiGo,Kolkata,Banglore,CCU → BLR,165,0,6,15,20,25,23,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,840,1,5,21,11,30,1,30
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1430,2,5,18,19,10,19,0
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,1300,2,6,6,6,45,4,25
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,6,27,22,0,19,15
Jet Airways,Banglore,Delhi,BLR → DEL,165,0,5,24,6,0,8,45
Jet Airways,Delhi,Cochin,DEL → BOM → COK,650,1,3,3,8,0,18,50
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,480,1,4,9,17,30,1,30
GoAir,Kolkata,Banglore,CCU → BOM → BLR,495,1,6,6,23,30,7,45
IndiGo,Delhi,Cochin,DEL → MAA → COK,325,1,6,15,2,0,7,25
